grade,task_id,test_bins,p_bins,p_mw,sig_bins_fdr05,sig_mw_fdr05
11,9.1,chi2,,,False,False
11,9.1.1,chi2,,,False,False
11,9.2,chi2,,,False,False
11,9.2.1,chi2,,,False,False
11,9.3,chi2,,,False,False
11,9.3.1,chi2,,,False,False
11,9.4,chi2,,,False,False
11,9.4.1,chi2,,,False,False
11,9.5,chi2,,,False,False
11,9.5.1,chi2,,,False,False
11,9.6,chi2,,,False,False
11,9.6.1,chi2,,,False,False
11,9.7,chi2,,,False,False
11,9.7.1,chi2,,,False,False
11,9.8,chi2,,,False,False
11,Блиц,error,,0.32901549309587536,False,False
11,Прак,chi2,0.6189005905396741,0.035225814302820686,False,False
11,Теор,error,,0.2886734302611393,False,False
11,№,chi2,0.44089552967916934,0.902171282075474,False,False
