grade,region_group,task_id,score
9,MO,№,13.0
9,MO,9.1,0.0
9,MO,9.2,10.0
9,MO,9.3,9.0
9,MO,9.4,9.0
9,MO,9.5,1.0
9,MO,9.6,9.0
9,MO,9.7,12.0
9,MO,9.8,15.0
9,MO,9.1.1,4.0
9,MO,9.2.1,5.0
9,MO,9.3.1,0.0
9,MO,9.4.1,2.0
9,MO,9.5.1,3.0
9,MO,9.6.1,5.0
9,MO,9.7.1,5.0
9,MO,Теор,38.0
9,MO,Прак,27.0
9,MO,Блиц,24.0
9,Rest,№,14.0
9,Rest,9.1,0.0
9,Rest,9.2,10.0
9,Rest,9.3,2.0
9,Rest,9.4,7.0
9,Rest,9.5,8.0
9,Rest,9.6,9.0
9,Rest,9.7,9.0
9,Rest,9.8,15.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,5.0
9,Rest,9.3.1,0.0
9,Rest,9.4.1,4.0
9,Rest,9.5.1,5.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,36.0
9,Rest,Прак,24.0
9,Rest,Блиц,27.0
9,Rest,№,15.0
9,Rest,9.1,4.0
9,Rest,9.2,10.0
9,Rest,9.3,5.0
9,Rest,9.4,9.0
9,Rest,9.5,3.0
9,Rest,9.6,9.0
9,Rest,9.7,14.0
9,Rest,9.8,8.0
9,Rest,9.1.1,4.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,1.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,4.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,2.0
9,Rest,Теор,40.0
9,Rest,Прак,22.0
9,Rest,Блиц,22.0
9,MO,№,16.0
9,MO,9.1,1.0
9,MO,9.2,6.0
9,MO,9.3,5.0
9,MO,9.4,10.0
9,MO,9.5,5.0
9,MO,9.6,8.0
9,MO,9.7,15.0
9,MO,9.8,11.0
9,MO,9.1.1,5.0
9,MO,9.2.1,5.0
9,MO,9.3.1,1.0
9,MO,9.4.1,2.0
9,MO,9.5.1,3.0
9,MO,9.6.1,5.0
